year;state_name;prom_crimenes
1989;north carolina;62768.181818181816
2020;new york;62451.743870237646
2003;arizona;62359.99043062201
1979;massachusetts;62073.818181818184
2015;ohio;61919.522290209796
1995;washington;61912.87935748462
2019;new york;61891.75162337662
2013;north carolina;61839.99845916795
2016;ohio;61670.91623238757
1981;massachusetts;61218.36363636364
2017;georgia;60875.64646464647
2009;michigan;60700.23924963925
1998;washington;60692.09947003669
1986;georgia;60545.27272727273
1997;washington;60450.26794258373
2019;georgia;60068.44151472651
2011;pennsylvania;59934.224880382775
2005;washington;59893.415204678364
1988;washington;59736.545454545456
2006;arizona;59609.8622915546
1997;arizona;59589.158054711246
1996;washington;59450.18686868687
1997;new jersey;59403.16714697406
2009;pennsylvania;59159.37626262626
2010;pennsylvania;58724.50079744816
1994;arizona;58715.26208425721
2001;arizona;58646.64837494112
2004;washington;58577.178181818184
2016;illinois;58562.66257166257
1994;washington;58556.4034293109
2012;pennsylvania;58536.74162679425
2010;michigan;58218.3441985646
2004;arizona;58211.36444444444
2007;arizona;58209.23433088651
2014;illinois;58192.485694600575
1991;massachusetts;58024.74272727273
2014;north carolina;58016.890259740256
1990;massachusetts;57953.09090909091
1987;washington;57897.454545454544
1982;massachusetts;57849.27272727273
2005;arizona;57787.32989690721
1995;maryland;57706.93181818182
1988;north carolina;57692.72727272727
1992;washington;57644.34593939394
2016;north carolina;57560.55036855037
1991;washington;57517.681818181816
2017;ohio;57370.29298162977
1989;washington;57078.545454545456
2018;georgia;57035.47607655502
1981;georgia;56991.454545454544
1996;arizona;56897.04618181819
2003;washington;56876.59559722788
1993;washington;56872.90093495126
2015;illinois;56703.33737373737
2015;north carolina;56654.46979107849
2017;illinois;56651.35721925134
2006;washington;56503.02054442732
2002;washington;56352.414608512874
2001;washington;56090.79267495095
1996;maryland;55903.13989637305
2013;pennsylvania;55886.63474025974
1986;washington;55825.454545454544
1998;arizona;55816.63475746868
1994;maryland;55727.67575757576
1992;maryland;55547.154471544716
1985;georgia;55523.818181818184
1989;massachusetts;55216.72727272727
2017;north carolina;55187.97918948522
1993;maryland;55126.31402918069
1990;washington;55063.63636363636
1980;georgia;55026.36363636364
1999;washington;55002.99444223898
1991;maryland;54868.13414891373
2005;tennessee;54764.41590909091
2000;washington;54716.40909090909
1992;massachusetts;54559.69618353345
2018;illinois;54539.62735462735
2000;arizona;54381.9365901003
2007;tennessee;54332.8957778623
2008;arizona;54223.17493857494
1987;north carolina;54217.454545454544
1996;louisiana;54105.257575757576
2003;tennessee;53996.76341050254
1998;new jersey;53915.61943076739
2004;tennessee;53838.289438502674
2008;tennessee;53819.767676767675
2006;tennessee;53801.788172992055
1997;tennessee;53796.49441786284
2001;tennessee;53777.1947368421
2011;michigan;53648.508177008174
1993;massachusetts;53496.40100715611
2012;michigan;53494.09678806997
1993;louisiana;53467.071146245056
1982;georgia;53465.454545454544
1988;massachusetts;53275.454545454544
2018;ohio;53221.892107892105
1993;arizona;53185.42701048951
2019;north carolina;53052.18817052513
2002;tennessee;52903.223076923074
1996;tennessee;52711.21212121212
1995;louisiana;52705.8961038961
1991;virginia;52659.62962962963
1990;arizona;52570.90909090909
1983;massachusetts;52540.181818181816
2014;pennsylvania;52487.223905723906
2019;illinois;52416.21149732621
1997;maryland;52359.06501547988
1994;louisiana;52338.969696969696
1985;washington;52337.454545454544
1989;arizona;52109.818181818184
1980;washington;51715.63636363636
1981;washington;51631.63636363636
2007;washington;51554.73515769944
2014;washington;51418.33223684211
1995;tennessee;51249.16
1999;arizona;51225.97005772006
2020;north carolina;51109.86436918202
2013;washington;51046.74706246135
1997;louisiana;51032.34090909091
1992;louisiana;51027.95804195804
2018;north carolina;50965.73896103896
1994;missouri;50935.5461038961
1981;maryland;50804.545454545456
1991;missouri;50791.046791443856
2009;tennessee;50744.81180223285
2016;washington;50724.079829031725
1990;maryland;50687.63636363636
2000;tennessee;50586.230739599385
1980;maryland;50536.181818181816
1991;arizona;50494.15909090909
1979;georgia;50406.36363636364
1987;massachusetts;50393.63636363636
2013;michigan;50391.249249249246
1985;massachusetts;50363.454545454544
1999;new jersey;50341.62000884043
2019;ohio;50170.661558441556
1998;maryland;50096.928110896195
1986;massachusetts;50084.545454545456
2012;washington;49988.50630391506
1990;virginia;49955.818181818184
1986;north carolina;49863.454545454544
1992;virginia;49840.70499108734
2015;pennsylvania;49790.591706539075
1990;louisiana;49770.181818181816
2001;new jersey;49754.68721109399
1986;louisiana;49740.36363636364
1989;louisiana;49725.818181818184
1982;north carolina;49719.63636363636
1998;tennessee;49713.836861768366
1991;louisiana;49667.27272727273
1995;missouri;49568.208754208754
1996;missouri;49537.99696969697
2015;washington;49478.74909090909
2010;tennessee;49412.779220779215
2008;washington;49305.209848484854
1980;north carolina;49304.36363636364
2010;washington;49194.83385579937
1991;indiana;49141.63636363636
2011;tennessee;49054.76474201474
1992;arizona;48971.56976744186
1980;indiana;48954.90909090909
1981;north carolina;48908.72727272727
2001;missouri;48889.12587412588
1995;indiana;48869.13766233766
1994;massachusetts;48778.36363636364
2009;washington;48660.84877622378
1993;tennessee;48576.77272727273
1993;virginia;48571.25
1993;missouri;48491.219379422975
1982;washington;48487.27272727273
1998;louisiana;48444.42727272727
1980;missouri;48416.72727272727
1984;massachusetts;48370.36363636364
2000;new jersey;48352.894868934745
1991;tennessee;48330.27272727273
1992;indiana;48251.35
1984;washington;48247.818181818184
1994;virginia;48219.42392344497
1994;tennessee;48174.140909090915
1988;maryland;48167.818181818184
1996;virginia;48161.453636363636
2009;arizona;48155.71523453716
1992;missouri;48127.75776754891
1989;missouri;48092.36363636364
2016;pennsylvania;48075.32070707071
2011;washington;48066.91335894152
1981;missouri;48045.454545454544
1994;indiana;48033.88352272727
1995;virginia;48002.00713012477
1995;massachusetts;47948.422877422876
1996;indiana;47772.63383838384
1984;georgia;47737.454545454544
1998;missouri;47729.78863636364
1990;missouri;47640.72727272727
1987;louisiana;47637.454545454544
1997;indiana;47620.0293255132
2003;missouri;47570.6
2001;maryland;47564.69053030303
1983;washington;47516.90909090909
1979;maryland;47484.72727272727
1989;maryland;47474.0
2002;missouri;47469.714685314684
1997;virginia;47460.097835497836
2020;pennsylvania;47345.683461117194
1997;missouri;47288.88492520138
2002;new jersey;47267.80622009569
2012;arizona;47233.60227272728
1990;indiana;47209.27272727273
2012;tennessee;47117.19626168224
2002;maryland;47113.78257226644
2020;georgia;47104.97839327943
1988;arizona;47082.72727272727
2017;washington;47053.11303267046
2005;missouri;46962.680652680654
1983;georgia;46952.90909090909
2007;missouri;46923.99920255184
1992;tennessee;46917.65909090909
1985;north carolina;46871.27272727273
1999;tennessee;46803.58501040944
1989;virginia;46693.454545454544
2011;arizona;46671.279792746114
1982;maryland;46623.27272727273
1979;washington;46608.90909090909
2006;missouri;46529.26829268293
1993;indiana;46381.134146341465
2000;maryland;46380.14595496247
1988;louisiana;46295.27272727273
1983;north carolina;46263.818181818184
1999;maryland;46259.303557312254
1981;virginia;46080.0
2000;missouri;46062.854545454546
2010;arizona;46061.377118644064
2020;ohio;46039.42083410795
2004;missouri;45975.016645326505
2013;arizona;45827.231117141564
2003;new jersey;45789.80471380471
1999;louisiana;45683.34848484848
2020;illinois;45599.731909256494
1988;virginia;45533.818181818184
1999;missouri;45522.093073593074
2017;pennsylvania;45518.704545454544
1986;maryland;45456.0
1984;north carolina;45331.27272727273
1985;louisiana;45327.818181818184
1988;missouri;45267.454545454544
1998;virginia;45196.92750287687
1979;indiana;45177.63636363636
1987;maryland;45165.27272727273
1989;indiana;45150.36363636364
2003;maryland;45127.678519061585
1981;indiana;45117.09090909091
2018;washington;45087.37518755517
2014;michigan;45064.69204545455
2013;tennessee;44983.42572062084
1990;tennessee;44790.181818181816
2008;missouri;44769.25252525253
1998;indiana;44719.685454545455
1980;virginia;44716.72727272727
2017;arizona;44657.59902597403
1979;north carolina;44567.63636363636
1982;missouri;44539.27272727273
2014;tennessee;44274.30952380953
1987;arizona;44255.454545454544
2017;tennessee;44217.90336700337
1986;arizona;44154.545454545456
2016;arizona;44069.25546711353
2000;louisiana;44063.62878787879
1982;indiana;44061.454545454544
2004;new jersey;44047.61957678213
2014;arizona;43951.64199950993
2004;maryland;43898.431910946194
1979;missouri;43722.0
1987;missouri;43676.72727272727
2016;michigan;43582.20935960591
2015;tennessee;43462.1997463321
2001;louisiana;43341.181818181816
2006;indiana;43289.48863636364
2005;maryland;43247.064335664334
2005;indiana;43106.58417508417
2018;tennessee;43035.841337907375
2016;tennessee;42971.330811470405
2015;arizona;42962.38438735178
2015;michigan;42916.97322741983
1985;maryland;42904.181818181816
1986;missouri;42867.818181818184
2007;indiana;42764.35920177384
2008;indiana;42758.33681073026
2005;new jersey;42602.86831731954
2001;indiana;42598.1013734467
2020;washington;42595.43999202552
1987;virginia;42503.27272727273
1996;massachusetts;42502.6519138756
1982;virginia;42487.818181818184
2006;maryland;42473.096483704976
2008;maryland;42466.24090909091
2004;indiana;42223.924611973394
2019;washington;42216.940011971325
1999;virginia;42162.332615252046
1982;louisiana;42122.545454545456
1988;indiana;42066.181818181816
2009;missouri;42055.186181818186
2002;indiana;41995.21561771562
1997;south carolina;41935.30985915493
1983;maryland;41920.72727272727
2003;indiana;41798.299300699306
1996;south carolina;41794.630021141646
2018;pennsylvania;41770.601604278076
1986;colorado;41769.27272727273
2006;new jersey;41704.69294258373
2018;arizona;41696.21133674018
2002;virginia;41644.84286160575
1980;louisiana;41642.181818181816
2007;maryland;41611.89283564118
2002;louisiana;41552.47878787879
2001;virginia;41536.70104405398
2010;missouri;41509.98079385403
2000;indiana;41480.46810207337
1984;louisiana;41459.818181818184
2004;louisiana;41455.416666666664
1987;indiana;41429.818181818184
2011;indiana;41389.46894689469
2008;new jersey;41360.63636363636
2012;missouri;41274.30244755245
1985;arizona;41235.09090909091
1984;maryland;41232.72727272727
1981;louisiana;41231.454545454544
1979;virginia;41210.181818181816
1987;tennessee;41184.72727272727
1983;indiana;41140.36363636364
2011;missouri;41087.289256198346
1981;wisconsin;41072.90909090909
1983;missouri;40933.818181818184
2017;michigan;40933.36376956377
1997;massachusetts;40882.62610301662
1980;wisconsin;40839.818181818184
2007;south carolina;40716.52913752914
1999;indiana;40693.540627514085
2004;south carolina;40658.719251336894
2019;tennessee;40653.099802371544
1985;colorado;40646.36363636364
1986;virginia;40612.0
1983;louisiana;40560.0
1989;tennessee;40540.36363636364
1995;south carolina;40497.244755244756
2008;south carolina;40491.441558441555
2003;louisiana;40422.98484848485
1980;arizona;40339.27272727273
2005;virginia;40335.36270555383
1998;south carolina;40293.454545454544
2009;indiana;40248.89090909091
1991;wisconsin;40234.784922394676
2003;south carolina;40191.67613636364
2004;virginia;40178.622287390026
2003;virginia;40171.98341307815
2007;new jersey;40161.39839572193
2012;indiana;40098.84520884521
2010;indiana;40047.98259187621
1991;south carolina;39996.36363636364
1994;south carolina;39977.818181818184
1983;virginia;39976.0
1988;tennessee;39973.09090909091
1985;missouri;39921.454545454544
1991;alabama;39890.90909090909
2020;tennessee;39852.99072356215
2001;south carolina;39849.90271132376
2019;pennsylvania;39788.49494949495
2013;missouri;39787.09956709956
2005;south carolina;39673.4081632653
2006;south carolina;39643.83813747229
1992;alabama;39617.181818181816
1981;colorado;39613.454545454544
1986;tennessee;39596.36363636364
2002;south carolina;39559.18309859155
2011;new jersey;39441.4522190408
2008;virginia;39411.52843037113
1992;wisconsin;39320.237449118045
1984;indiana;39279.818181818184
2009;maryland;39259.358288770054
1979;louisiana;39226.0
1985;virginia;39206.181818181816
1982;colorado;39197.09090909091
1985;indiana;39133.454545454544
1984;missouri;39126.181818181816
1993;south carolina;39102.92929292929
1990;wisconsin;39090.90909090909
2000;south carolina;39004.03282828283
2000;virginia;38973.570426487095
1984;virginia;38771.09090909091
2019;arizona;38707.038277511965
2007;virginia;38691.76167076167
1981;arizona;38664.90909090909
1987;colorado;38660.72727272727
1992;south carolina;38606.40909090909
2007;louisiana;38602.005865102634
2009;virginia;38585.97878787879
1986;indiana;38576.36363636364
2006;virginia;38535.81524926687
2013;indiana;38530.22181818182
2018;michigan;38503.819685081646
2008;alabama;38460.36363636364
1982;wisconsin;38458.90909090909
1998;massachusetts;38401.743632221995
1997;alabama;38397.818181818184
2011;south carolina;38389.70674486804
1980;colorado;38379.454545454544
1990;south carolina;38323.454545454544
2010;new jersey;38200.484011384564
2009;south carolina;38021.047539616346
2010;south carolina;38005.05671392827
1983;colorado;37822.72727272727
1996;minnesota;37799.57259158752
2009;new jersey;37794.63636363636
2012;south carolina;37732.69493006993
1995;minnesota;37697.088357256784
2012;new jersey;37675.23924392439
2017;missouri;37665.00779220779
1979;wisconsin;37656.72727272727
2005;colorado;37628.10327272727
1999;south carolina;37620.60523038605
1994;alabama;37610.72727272727
1997;minnesota;37607.23831775701
1992;colorado;37596.024381748524
2015;missouri;37499.82363636364
1995;alabama;37488.72727272727
1995;oregon;37487.15789473684
1996;alabama;37447.63636363636
2006;louisiana;37437.22727272727
1992;minnesota;37393.454545454544
1984;colorado;37391.27272727273
1982;tennessee;37323.27272727273
1991;colorado;37296.38565340909
2010;maryland;37258.62954545455
2007;alabama;37247.87012987013
2020;arizona;37215.10654588591
2010;virginia;37198.819220779216
2014;missouri;37189.46052631579
1980;tennessee;37173.818181818184
2016;missouri;37165.656384065376
1993;alabama;37141.72727272727
1993;wisconsin;37136.69377990431
1982;arizona;37081.09090909091
2019;michigan;36989.98340050754
1997;oregon;36969.87965367965
1988;colorado;36957.63636363636
1989;wisconsin;36855.09090909091
1995;colorado;36764.73642464918
1983;wisconsin;36761.454545454544
2000;alabama;36756.181818181816
2004;alabama;36667.84848484848
2003;alabama;36651.454545454544
2009;louisiana;36637.51048951049
1999;massachusetts;36630.251982916416
2006;alabama;36509.454545454544
2008;louisiana;36508.78561736771
1994;wisconsin;36447.04318181818
1987;wisconsin;36440.90909090909
2002;alabama;36424.818181818184
1989;colorado;36423.27272727273
1998;alabama;36375.454545454544
2014;indiana;36331.74153297683
1990;colorado;36260.72727272727
1993;minnesota;36242.36363636364
1991;minnesota;36233.05414141414
2009;alabama;36219.47474747475
1995;wisconsin;36195.03232323232
2011;virginia;36167.763141620286
2002;massachusetts;36162.99850968704
1984;wisconsin;36154.72727272727
1986;oklahoma;36139.09090909091
1981;tennessee;36137.454545454544
